Codigo;Nombre;Categoria;Proveedor;Stock;Costo;Precio;
734;Chutney de manzana pera organico Suma Qamaña 220 gr;Conservas;SUMA QAMAÑA - Francisco Rios - maca;0;;685.20;
735;Chutney de tomate Suma Qamaña 220 gr;Conservas;SUMA QAMAÑA - Francisco Rios - maca;0;;685.20;
736;Chutney de tomate Suma Qamaña 360 gr;Conservas;SUMA QAMAÑA - Francisco Rios - maca;0;;589.20;
1341251;Chutney de tomate VILLAVERDE 190g;Conservas;;-5;0.00;5600.00;
738;Chutney Kui;Salsas y Mayonesas;Manduvikui (pasta de mani - miel saborizada);-2;;1746.00;
2985;Chutneys 360grs SANGUSTO;Varios;Sangusto Empanadas Samosas;-3;;2976.00;
739;Cigarrillos herbales (todos) RITUAL;Medicinales y Energeticos;Ritual;-67;0.00;8950.00;
198362;Ciruela Umeboshi 100g Suma Qamaña;Deshidratados;SUMA QAMAÑA - Francisco Rios - maca;-32;0.00;5710.00;
152748;Ciruela Umeboshi 250g Suma Qamaña;Deshidratados;SUMA QAMAÑA - Francisco Rios - maca;-3;;3494.40;
1937;Ciruelas 100g;frutos secos;Los Nogales;-45;0.00;1300.00;
740;Ciruelas 1Kg;Deshidratados;Los Nogales;-2;1343.00;9920.00;
741;Ciruelas 250g;Deshidratados;Los Nogales;-197;355.50;2900.00;
742;Ciruelas 500g;Deshidratados;Los Nogales;-110;671.50;5450.00;
623262;Citrato de Magnesio 100g KAWSAY;Fitoterapia;;-4;0.00;12550.00;
745;Citrato de magnesio 100gr VERITASALUD;harinas;VeritaSalud;-8;0.00;3955.00;
24124214;Citrato de magnesio SALUTIS;Fitoterapia;;0;0.00;18520.00;
8428;Clavo de olor 25g Plut;yuyerio y condimentos;Yuyos Andy;-4;;3015.00;
746;Clavo de olor 50g Plut;yuyerio y condimentos;Yuyos Andy;-9;2739.50;5679.00;
748;Clorito de sodio x 100cc;Aceites;Lean Despierta Ananda;0;;662.40;
7798121272217;Clorofila bibible Natier 250cc;Medicinales y Energeticos;El Ceibo;-1;870.58;1800.00;
2161616;Cloruro de Magnesio 250g Veritasalud ;Medicinales y Energeticos;;-2;;10200.00;
751;Cloruro de magnesio 500gr VERITASALUD;harinas;VeritaSalud;-3;0.00;17280.00;
34663;Cobre colidal 100 S650;Medicinales y Energeticos;;0;;6340.00;
752;Cobre coloidal  100ml S610;Medicinales y Energeticos;Eco Tierra;-3;1106.00;6175.00;
754;Coco en escamas 1 kg Plutarco;Dulces;Los Nogales;0;3634.00;6784.80;
12341231;Coco en escamas 100g Plutarco;frutos secos;;-66;;2000.00;
Granel5;Coco en Escamas 100grs;Granel;;0;0.00;560.00;
58855;Coco en escamas 250g Plutarco;Deshidratados;;-3;;4500.00;
19732;Coco en Escamas Dulce 100g PLANTE;frutos secos;Plante;-1;;4033.20;
755;Coco en escamas paquete PLUTARCO;Dulces;Los Nogales;0;134.30;249.60;
756;Coco rallado 1 kg Plutarco;Varios;Los Nogales;-19;2725.50;8800.00;
Granel4;Coco Rallado 100grs;Granel;;0;0.00;950.00;
732535898691;Coconut chocolate NATURAL CANDY;galletas;Mi Soja (Soja SRL);-1;509.55;2088.00;
732535898738;Coconut Granola Clusters;granola;Tienda veggie (Holy places srl);-3;;1474.80;
763571861844;Cocurt 180g WHOLE LIFE;Lacteos;;-12;;2830.00;
727373107166;Cocurt 300g WHOLE LIFE;Bebidas;;-1;;2900.00;
135151;Coidyceps tintura madre 100ml MYCELLIUM;X;;0;0.00;17000.00;
761;Cola de caballo 50g Plut;yuyerio y condimentos;Yuyos Andy;-43;692.00;2500.00;
762;Cola de caballo x 250g;yuyerio y condimentos;Herbores;0;687.00;3428.00;
38239;Colageno 300g Veritasalud;Medicinales y Energeticos;VeritaSalud;-6;0.00;31200.00;
26562426;Colonia de Rosas MUYYRAY Y LANMAN;Cosmetica natural;;0;7200.00;11520.00;
764;Comino molido 50g Plut;yuyerio y condimentos;Yuyos Andy;-30;1167.50;3840.00;
765;Comino semillas 50g Plut;yuyerio y condimentos;Yuyos Andy;0;0.00;3840.00;
776;Congorosa x 50g;yuyerio y condimentos;Herbores;0;;142.80;
2839;Conos copal Sri Sri x 25grs;Otros;SAGRADA MADRE - Etnica Javier Wajncymer;0;;486.00;
777;Contorno de ojos Rosa Mosqueta WELEDA;Cosmetica natural;Beatriz cosméticos;0;;805.20;
778;Contrayerba 50g Plut;yuyerio y condimentos;Yuyos Andy;0;;1000.00;
779;Cookie de ALMENDRAS Nutri Raw;galletas;Mi Soja (Soja SRL);0;55.30;103.20;
780;Cookie mix frutos secos Nutri Raw;galletas;Mi Soja (Soja SRL);0;114.55;213.60;
781;Cookie Sonder 8unidades;Bebidas;Sonder;0;;279.60;
701822744553;Cookies banana Crudencio;Varios;Fernanda - Alimentos Naturales;-10;;3670.00;
701822744560;Cookies cacao Crudencio;Panaderia y Comidas;Crudencio;-17;0.00;4200.00;
701822744584;Cookies coco Crudencio;galletas;Crudencio;-7;;3670.00;
701822744546;Cookies Limon Crudencio;galletas;Crudencio;-6;;3670.00;
636266687077;copa menstrual Maggacup talle 1;Varios;Maggacup;-2;0.00;6410.00;
636266687084;COPA MENSTRUAL talle 2 maggacup;Cosmetica natural;Maggacup;-6;0.00;6410.00;
785;Copala azul 30g;Varios;SUMA QAMAÑA - Francisco Rios - maca;-14;;826.80;
786;Copalera quemador ancestral mini;Medicinales y Energeticos;SAGRADA MADRE - Etnica Javier Wajncymer;0;;0.00;
787;Copos trigo sarraceno Olienka 200g;cereales;El Ceibo;0;74.30;138.00;
7791479000075;Corazones de Alcaucil al Natural CRISTO DE LOS CERROS;Conservas;Green & CO;-1;;3090.00;
7791351001008;Corazones de Alcaucil Siete Lagos 310 gr;Conservas;Fernanda - Alimentos Naturales;-2;;4302.00;
152361;Cordyceps tintura madre 100ml MYCCELIUM;X;;0;0.00;17000.00;
791;Coriandro polvo plut 50grs;yuyerio y condimentos;Yuyos Andy;-16;635.10;2270.00;
4373;Coriandro semillas plut 50grs;X;Yuyos Andy;-4;635.10;2270.00;
792;Cornet de madera;X;edu carpintero;0;;72.00;
793;Corteza de Chañar Suma Qamña 100gr;Varios;SUMA QAMAÑA - Francisco Rios - maca;0;;235.20;
PLUT0017;Cortezas 100g Envasadas Plutarco;Panaderia y Comidas;Plutarco;-467;950.00;2300.00;
PLUT0021;Cortezas 250g envasadas Plutarco;Panaderia y Comidas;Plutarco;-1394;0.00;4900.00;
PLUT0020;Cortezas 500g envasadas Plutarco;Panaderia y Comidas;Plutarco;-439;0.00;9500.00;
PLUT0003;Cortezas x kg Plutarco;Panaderia y Comidas;Plutarco;-108;3168.30;19000.00;
0763571726440;Costillitas a la barbacoa GREEN DRAGON;Comidas congeladas;All Natural;-1;;2040.00;
7798048259872;Cous cous Ararat 500 gr;cereales;Los Nogales;-67;734.70;4540.00;
781718923026;Cracker de arvejas Plant Baked Crudencio;Panaderia y Comidas;Crudencio;-6;;2770.00;
781718923019;Cracker de Cebolla onion Plant Baked Crudencio;galletas;;-2;;3170.00;
781718923033;Cracker de Vainilla Plant Baked Crudencio;Panaderia y Comidas;Crudencio;-4;;2640.00;
701822744607;Cracker Puerro Crudencio;Varios;Fernanda - Alimentos Naturales;-6;0.00;2946.00;
701822744591;Cracker Tomate Crudencio;Varios;Fernanda - Alimentos Naturales;-16;0.00;3555.00;
7798325430062;Crackers Curcuma DEL Y RAW;Varios;Fernanda - Alimentos Naturales;-4;;1080.00;
7798325430017;Crackers Mediterraneas DEL Y RAW;Varios;Fernanda - Alimentos Naturales;-1;;1080.00;
799;Crackers Nutri Raw;galletas;Mi Soja (Soja SRL);0;173.80;324.00;
800;Crackers Oki (sabores varios);galletas;Crackines (Milgal) Lucas;0;165.90;309.60;
1432;Crackers Sésamo Frasco 660cc;galletas;Plante;0;;3472.80;
617308824087;Crackers SHIVA ahumado x 100grs;Snack;Beatriz cosméticos;-94;0.00;3000.00;
617308824094;Crackers SHIVA carbon x 100grs;Snack;Tienda veggie (Holy places srl);-45;0.00;3000.00;
791466298451;Crackers SHIVA jalapeño x 100grs;Bocadito;;-7;0.00;3000.00;
617308824117;Crackers SHIVA mediterraneo x 100grs;Varios;;-52;0.00;3000.00;
617308824100;Crackers SHIVA mix semillas x 100grs;Varios;Tienda veggie (Holy places srl);-50;0.00;3000.00;
791466298444;Crackers SHIVA tostis 100g;barritas;;-7;;3740.00;
298548;Crackers Tomate Frasco 660cc PLANTE;Snack;Plante;-12;;3472.80;
8027798200050019;Crackines galletas de arroz;Almacen;Crackines (Milgal) Lucas;-922;259.55;1920.00;
7798370550043;creepes Natural Pop 200g;Varios;All Natural;-3;;493.20;
4856844024551;Crema balsamo corporal calmante ylang-ylang y lavanda 50 cc BIOTERRA;Cosmetica natural;Bio Terra;-1;0.00;8832.00;
805;Crema Cannabis OLEUM;Bebidas;OLEUM;0;;944.40;
736684289140;Crema corporal extra loto y magn. SENTIDA BOTANICA;Cosmetica natural;Sentida botanica;-3;0.00;11200.00;
736684289164;Crema corporal todo tipo de piel SENTIDA BOTANICA;Cosmetica natural;Sentida botanica;-3;0.00;10000.00;
736684289157;Crema corporal todo tipo de piel SENTIDA BOTANICA madre;Cosmetica natural;;-2;;10000.00;
808;Crema de Almendras DICOMERE;galletas;Mi Soja (Soja SRL);0;560.90;1046.40;
809;Crema de arnica y lavanda 60 gr Pajaro Tigre;Cosmetica natural;Pajaro Tigre;-20;0.00;16840.00;
810;Crema de Avell. Cacao y mascabo DICOMERE;galletas;Mi Soja (Soja SRL);0;553.00;1032.00;
811;Crema de Avellanas DICOMERE;galletas;Mi Soja (Soja SRL);-2;734.70;1370.40;
812;Crema de caju 190grs (Natural) Yamani;Panaderia y Comidas;Yamani;0;;1482.00;
813;Crema de caju 220grs VIVET;Panaderia y Comidas;VIVET;0;;345.60;
814;Crema de calendula con miel y lavanda 60 gr Pajaro Tigre;Cosmetica natural;Pajaro Tigre;-29;0.00;11350.00;
815;crema de Cannabis Ananda 60 ml;Aceites;Lean Despierta Ananda;-9;0.00;9600.00;
816;crema de coco 200 gr Crudencio;Panaderia y Comidas;Crudencio;0;;846.00;
817;Crema de enjuague Piel de Caramelo;Cosmetica natural;Sol 7 -Pablo-;0;;1106.40;
2765;Crema de leche cultivada x 350 ml LA CHOZA;Lacetos;;-14;0.00;7000.00;
076625270364;Crema de Mani 380g Hardy;frutos secos;Coeco;-11;;1695.60;
